開始,終了,タイプ,放送局,配信サイト,時間,期間,対象地域,備考
2022-10-02,,配信,,ムービーフル,日曜 23:00 更新,2022年10月2日,,
2022-10-02,,配信,,Rakuten TV,日曜 23:00 更新,2022年10月2日,,
2022-10-05,,配信,,アニメ放題,水曜 12:00 更新,2022年10月5日,,
2022-10-05,,配信,,dアニメストア,水曜 12:00 更新,2022年10月5日,,
2022-10-05,,配信,,hulu,水曜 12:00 更新,2022年10月5日,,
2022-10-05,,配信,,U-NEXT,水曜 12:00 更新,2022年10月5日,,
2022-10-05,,配信,,ニコニコ生放送,水曜 23:30 - 木曜 0:00,2022年10月5日,,
2023-02-05,,放送,TOKYO MX,,日曜 22:30 - 23:00,2023年2月5日 -,東京都,
2023-02-05,,放送,KBS京都,,日曜 23:30 - 月曜 0:00,2023年2月5日 -,京都府,
2023-02-05,,放送,サンテレビ,,日曜 23:30 - 月曜 0:00,2023年2月5日 -,兵庫県,
2023-02-06,,放送,BS11,,水曜 0:00 - 0:30（月曜深夜）,2023年2月6日 -,日本全域,BS放送 / 『ANIME+』枠
2023-02-07,,放送,テレビ北海道,,水曜 2:35 - 3:05（火曜深夜）,2023年2月7日 -,北海道,
2023-02-07,,放送,テレビ愛知,,水曜 2:35 - 3:05（火曜深夜）,2023年2月7日 -,愛知県,
2023-02-07,,放送,TVQ九州放送,,木曜 2:15 - 2:45（水曜深夜）,2023年2月7日 -,福岡県,
2023-01-08,2023-01-29,放送,TOKYO MX,,日曜 22:30 - 23:00,2023年1月8日 - 1月29日,東京都,
2023-01-08,2023-01-29,放送,サンテレビ,,日曜 23:30 - 月曜 0:00,2023年1月8日 - 1月29日,兵庫県,
2023-01-09,2023-01-30,放送,BS11,,水曜 0:00 - 0:30（月曜深夜）,2023年1月9日 - 1月30日,日本全域,BS放送 / 『ANIME+』枠
2023-01-10,2023-01-31,放送,テレビ愛知,,水曜 2:35 - 3:05（火曜深夜）,2023年1月10日 - 1月31日,愛知県,
