開始,終了,タイプ,放送局,配信サイト,時間,期間,備考
2023-01-10,2023-04-04,放送,テレビ愛知,,火曜 0:00 - 0:30（月曜深夜）,2023年1月10日 - 4月4日,
2023-01-10,2023-04-04,放送,TVQ九州放送,,火曜 0:00 - 0:30（月曜深夜）,2023年1月10日 - 4月4日,
2023-01-10,2023-04-04,放送,南日本放送,,火曜 0:55 - 1:25（月曜深夜）,2023年1月10日 - 4月4日,
2023-01-10,2023-04-04,放送,テレビ神奈川,,火曜 1:00 - 1:30（月曜深夜）,2023年1月10日 - 4月4日,
2023-01-10,2023-04-04,放送,IBC岩手放送,,火曜 1:28 - 1:58（月曜深夜）,2023年1月10日 - 4月4日,
2023-01-10,2023-04-04,放送,中国放送,,火曜 1:45 - 2:15（月曜深夜）,2023年1月10日 - 4月4日,
2023-01-10,2023-04-04,放送,AT-X,,火曜 23:30 - 水曜 0:00,2023年1月10日 - 4月4日,
2023-01-11,2023-04-05,放送,千葉テレビ,,水曜 0:00 - 0:30（火曜深夜）,2023年1月11日 - 4月5日,
2023-01-11,2023-04-05,放送,とちぎテレビ,,水曜 1:00 - 1:30（火曜深夜）,2023年1月11日 - 4月5日,
2023-01-11,2023-04-05,放送,山陰中央テレビ,,水曜 1:25 - 1:55（火曜深夜）,2023年1月11日 - 4月5日,
2023-01-11,2023-04-05,放送,山口放送,,水曜 2:24 - 2:54（火曜深夜）,2023年1月11日 - 4月5日,
2023-01-12,2023-04-06,放送,テレビユー福島,,木曜 0:58 - 1:28（水曜深夜）,2023年1月12日 - 4月6日,
2023-01-13,2023-04-07,放送,静岡放送,,金曜 1:25 - 1:55（木曜深夜）,2023年1月13日 - 4月7日,
2023-01-13,2023-04-07,放送,ミヤギテレビ,,金曜 1:59 - 2:29（木曜深夜）,2023年1月13日 - 4月7日,
2023-01-14,2023-04-08,放送,福井テレビ,,土曜 1:25 - 1:55（金曜深夜）,2023年1月14日 - 4月8日,
2023-01-14,2023-04-08,放送,チューリップテレビ,,土曜 1:55 - 2:25（金曜深夜）,2023年1月14日 - 4月8日,
2023-01-14,2023-04-08,放送,熊本放送,,土曜 2:25 - 2:55（金曜深夜）,2023年1月14日 - 4月8日,
2023-01-15,2023-04-09,放送,山形放送,,日曜 1:30 - 2:00（土曜深夜）,2023年1月15日 - 4月9日,
2023-01-15,2023-04-09,放送,BS朝日,,日曜 23:00 - 23:30,2023年1月15日 - 4月9日,
2023-01-16,2023-04-10,放送,テレビ埼玉,,月曜 0:00 - 0:30（日曜深夜）,2023年1月16日 - 4月10日,
2023-01-16,2023-04-10,放送,群馬テレビ,,月曜 0:30 - 1:00（日曜深夜）,2023年1月16日 - 4月10日,
2023-01-16,2023-04-10,放送,テレビ大分,,月曜 1:55 - 2:25（日曜深夜）,2023年1月16日 - 4月10日,
2023-01-16,2023-04-10,放送,高知放送,,月曜 2:25 - 2:55（日曜深夜）,2023年1月16日 - 4月10日,
2023-01-20,2023-04-07,放送,琉球放送,,金曜 0:59 - 1:29（木曜深夜）,2023年1月20日 - 4月7日,
2023-01-20,2023-04-14,放送,長崎文化放送,,金曜 1:18 - 1:48（木曜深夜）,2023年1月20日 - 4月14日,
2023-01-20,2023-04-14,放送,秋田朝日放送,,金曜 2:20 - 2:50（木曜深夜）,2023年1月20日 - 4月14日,
2023-01-21,2023-04-29,放送,新潟放送,,土曜 1:55 - 2:25（金曜深夜）,2023年1月21日 - 4月29日,
2023-01-21,2023-04-22,放送,北陸放送,,土曜 1:55 - 2:25（金曜深夜）,2023年1月21日 - 4月22日,
2023-01-22,2023-04-23,放送,あいテレビ,,日曜 1:28 - 1:58（土曜深夜）,2023年1月22日 - 4月23日,
2023-01-24,2023-05-09,放送,信越放送,,火曜 1:30 - 2:00（月曜深夜）,2023年1月24日 - 5月9日,
2023-01-28,2023-04-29,放送,宮崎放送,,土曜 17:00 - 17:30,2023年1月28日 - 4月29日,
2023-02-06,2023-05-08,放送,テレビ山梨,,月曜 0:50 - 1:20（日曜深夜）,2023年2月6日 - 5月8日,
2023-03-21,2023-06-20,放送,青森テレビ,,火曜 1:35 - 2:05（月曜深夜）,2023年3月21日 - 6月20日,
2023-01-08,,配信,,Disney+,日曜 3:00（土曜深夜） 更新,2023年1月8日,定額配信サービス独占配信[145][146]
2023-01-08,,配信,,Amazon Prime Video,日曜 3:00（土曜深夜） 更新,2023年1月8日,都度課金配信
2023-01-08,,配信,,バンダイチャンネル,日曜 3:00（土曜深夜） 更新,2023年1月8日,都度課金配信
2023-01-08,,配信,,クランクイン！ビデオ,日曜 3:00（土曜深夜） 更新,2023年1月8日,都度課金配信
2023-01-08,,配信,,dアニメストア,日曜 3:00（土曜深夜） 更新,2023年1月8日,都度課金配信
2023-01-08,,配信,,dTV,日曜 3:00（土曜深夜） 更新,2023年1月8日,都度課金配信
2023-01-08,,配信,,DMM TV,日曜 3:00（土曜深夜） 更新,2023年1月8日,都度課金配信
2023-01-08,,配信,,FOD,日曜 3:00（土曜深夜） 更新,2023年1月8日,都度課金配信
2023-01-08,,配信,,Hulu,日曜 3:00（土曜深夜） 更新,2023年1月8日,都度課金配信
2023-01-08,,配信,,MBS動画イズム,日曜 3:00（土曜深夜） 更新,2023年1月8日,都度課金配信
2023-01-08,,配信,,ニコニコチャンネル,日曜 3:00（土曜深夜） 更新,2023年1月8日,都度課金配信
2023-01-08,,配信,,ビデオマーケット,日曜 3:00（土曜深夜） 更新,2023年1月8日,都度課金配信
2023-01-14,,配信,,TVer,土曜 12:00 更新,2023年1月14日,最新話1週間配信
,,放送,毎日放送,,放送時間未発表,2023年10月 -,
,,放送,テレビ東京,,放送時間未発表,2023年10月 -,
,,放送,AT-X,,放送時間未発表,2023年10月 -,
,,配信,,Disney+,配信時間未発表,2023年10月,定額配信サービス独占配信
