期間,時間,放送局,対象地域,備考,タイプ,配信サイト,配信日,開始,終了
2020年1月27日 - 4月27日,月曜 1:29 - 1:59（日曜深夜）,山口朝日放送,山口県,第4話以降は1:59 - 2:29に放送,放送,,,2020-01-27,2020-04-27
2020年1月28日 - 4月28日,火曜 1:20 - 1:50（月曜深夜）,北海道テレビ,北海道,,放送,,,2020-01-28,2020-04-28
2020年1月28日 - 4月28日,火曜 1:25 - 1:55（月曜深夜）,RKB毎日放送,福岡県,,放送,,,2020-01-28,2020-04-28
2020年1月28日 - 4月28日,火曜 1:45 - 2:15（月曜深夜）,長野朝日放送,長野県,,放送,,,2020-01-28,2020-04-28
2020年1月28日 - 4月28日,火曜 1:55 - 2:25（月曜深夜）,静岡朝日テレビ,静岡県,,放送,,,2020-01-28,2020-04-28
2020年1月28日 - 4月28日,火曜 1:55 - 2:25（月曜深夜）,秋田朝日放送,秋田県,,放送,,,2020-01-28,2020-04-28
2020年1月28日 - 4月28日,火曜 2:10 - 2:40（月曜深夜）,北陸朝日放送,石川県,,放送,,,2020-01-28,2020-04-28
2020年1月28日 - 4月28日,火曜 2:20 - 2:50（月曜深夜）,愛媛朝日テレビ,愛媛県,,放送,,,2020-01-28,2020-04-28
2020年2月8日 - 5月2日,土曜 1:55 - 2:25（金曜深夜）,中国放送,広島県,,放送,,,2020-02-08,2020-05-02
2020年2月8日 - 5月2日,土曜 1:56 - 2:26（金曜深夜）,青森放送,青森県,,放送,,,2020-02-08,2020-05-02
2020年2月8日 - 5月9日,土曜 2:04 - 2:34（金曜深夜）,長崎国際テレビ,長崎県,,放送,,,2020-02-08,2020-05-09
2020年1月23日 - 4月23日,木曜 22:30 - 23:00,,,,配信,AbemaTV,,2020-01-23,2020-04-23
2020年1月23日 - 4月23日,木曜 22:30 - 23:00,,,公式チャンネルプレミア公開,配信,YouTube バンドリちゃんねる☆,,2020-01-23,2020-04-23
2020年1月23日 - 4月23日,木曜 23:30 - 0:00,,,オーディオコメンタリー形式プレミア公開,配信,YouTube A.I.Channel,,2020-01-23,2020-04-23
2020年1月23日 - 4月23日,木曜 23:30 - 0:00,,,プレミア公開,配信,YouTube 【アベマTV】公式,,2020-01-23,2020-04-23
2020年1月23日 - 4月23日,木曜 23:30 - 0:00,,,プレミア公開,配信,YouTube アニメ!アニメ!,,2020-01-23,2020-04-23
2020年1月23日 - 4月23日,木曜 23:30 - 0:00,,,プレミア公開,配信,YouTube animate Times,,2020-01-23,2020-04-23
2020年1月23日 - 4月23日,木曜 23:30 - 0:00,,,プレミア公開,配信,YouTube oricon,,2020-01-23,2020-04-23
2020年1月23日 - 4月23日,木曜 23:30 - 0:00,,,プレミア公開,配信,YouTube KADOKAWAanime,,2020-01-23,2020-04-23
2020年1月23日 - 4月23日,木曜 23:30 - 0:00,,,プレミア公開,配信,YouTube カードキングダム,,2020-01-23,2020-04-23
2020年1月23日 - 4月23日,木曜 23:30 - 0:00,,,プレミア公開,配信,YouTube 新日本プロレスリング株式会社,,2020-01-23,2020-04-23
2020年1月23日 - 4月23日,木曜 23:30 - 0:00,,,プレミア公開,配信,YouTube TOKYO MX,,2020-01-23,2020-04-23
2020年1月23日 - 4月23日,木曜 23:30 - 0:00,,,プレミア公開,配信,YouTube HiBiKi StYle,,2020-01-23,2020-04-23
2020年1月23日 - 4月23日,木曜 23:30 - 0:00,,,プレミア公開,配信,YouTube ファミ通App,,2020-01-23,2020-04-23
2020年1月24日 - 4月24日,金曜 7:00 更新,,,,配信,YouTube いちなるTV,,2020-01-24,2020-04-24
2020年1月24日 - 4月24日,金曜 7:00 更新,,,,配信,YouTube フル☆アニメTV,,2020-01-24,2020-04-24
2020年1月24日 - 4月24日,金曜 7:00 更新,,,,配信,YouTube ボンボンTV,,2020-01-24,2020-04-24
2023年6月29日,木曜 22:00 - 23:30,TOKYO MX,東京都,,放送,,,2023-06-29,
2023年6月30日,金曜 0:00 - 1:00（木曜深夜）金曜 1:30 - 2:00（木曜深夜）,サンテレビ,兵庫県,,放送,,,2023-06-30,
2023年6月30日2023年7月2日,金曜 0:30 - 1:00（木曜深夜）日曜 0:00 - 1:00（土曜深夜）,BS日テレ,日本全域,BS放送 / 『アニメにむちゅ〜』枠,放送,,,2023-06-30,
2023年6月30日,金曜 1:00 - 2:30（木曜深夜）,テレビ愛知,愛知県,,放送,,,2023-06-30,
2023年6月30日,金曜 1:55 - 3:25（木曜深夜）,静岡放送,静岡県,,放送,,,2023-06-30,
2023年6月30日,金曜 22:30 - 土曜 0:00,AT-X,日本全域,CS放送 / 字幕放送[65] / リピート放送あり,放送,,,2023-06-30,
2023年7月6日 -,木曜 23:00 - 23:30,TOKYO MX,東京都,,放送,,,2023-07-06,
2023年7月7日 -,金曜 0:00 - 0:30（木曜深夜）,BS日テレ,日本全域,BS放送 / 『アニメにむちゅ〜』枠,放送,,,2023-07-07,
2023年7月7日 -,金曜 0:30 - 1:00（木曜深夜）,サンテレビ,兵庫県,,放送,,,2023-07-07,
2023年7月7日 -,金曜 1:25 - 1:55（木曜深夜）,静岡放送,静岡県,,放送,,,2023-07-07,
2023年7月7日 -,金曜 1:30 - 2:00（木曜深夜）,テレビ愛知,愛知県,,放送,,,2023-07-07,
2023年7月7日 -,金曜 22:30 - 23:00,AT-X,日本全域,CS放送 / 字幕放送 / リピート放送あり,放送,,,2023-07-07,
2023年6月29日,木曜 22:30 - 23:00,,,初回は22:00 - 23:30に配信,配信,ABEMA,,2023-06-29,
未定,未定,,,,配信,dアニメストア,,,
未定,未定,,,,配信,U-NEXT,,,
未定,未定,,,,配信,アニメ放題,,,
未定,未定,,,,配信,バンダイチャンネル,,,
未定,未定,,,,配信,Hulu,,,
未定,未定,,,,配信,niconico,,,
未定,未定,,,,配信,ビデオマーケット,,,
未定,未定,,,,配信,music.jp,,,
未定,未定,,,,配信,DMM TV,,,
未定,未定,,,,配信,ふらっと動画,,,
未定,未定,,,,配信,TELASA,,,
未定,未定,,,,配信,J:COMオンデマンド,,,
未定,未定,,,,配信,milplus,,,
未定,未定,,,,配信,auスマートパスプレミアム,,,
未定,未定,,,,配信,Amazon Prime Video[67],,,
